DateTime,Temperature
4/23/2021 0:04,19.20
4/23/2021 0:14,19.20
4/23/2021 0:24,19.20
4/23/2021 0:34,19.20
4/23/2021 0:44,19.20
4/23/2021 0:52,19.20
4/23/2021 0:54,19.20
4/23/2021 1:04,19.20
4/23/2021 1:14,19.20
4/23/2021 1:24,19.10
4/23/2021 1:34,19.10
4/23/2021 1:44,19.10
4/23/2021 1:54,19.10
4/23/2021 2:04,19.10
4/23/2021 2:14,19.10
4/23/2021 2:24,19.10
4/23/2021 2:34,19.10
4/23/2021 2:44,19.10
4/23/2021 2:54,19.10
4/23/2021 3:04,19.00
4/23/2021 3:14,19.00
4/23/2021 3:24,19.00
4/23/2021 3:34,19.00
4/23/2021 3:44,19.00
4/23/2021 3:54,19.00
4/23/2021 3:55,19.00
4/23/2021 4:04,19.00
4/23/2021 4:14,19.00
4/23/2021 4:24,19.00
4/23/2021 4:34,19.00
4/23/2021 4:44,18.90
4/23/2021 4:54,18.90
4/23/2021 5:04,18.90
4/23/2021 5:14,18.90
4/23/2021 5:24,18.90
4/23/2021 5:34,18.90
4/23/2021 5:44,18.90
4/23/2021 5:54,18.90
4/23/2021 6:04,18.80
4/23/2021 6:14,18.80
4/23/2021 6:24,18.80
4/23/2021 6:34,18.80
4/23/2021 6:44,18.80
4/23/2021 6:54,18.80
4/23/2021 7:04,18.80
4/23/2021 7:14,18.80
4/23/2021 7:17,18.80
4/23/2021 7:24,18.80
4/23/2021 7:34,18.90
4/23/2021 7:44,18.80
4/23/2021 7:54,18.90
4/23/2021 8:04,18.80
4/23/2021 8:14,18.90
4/23/2021 8:24,18.90
4/23/2021 8:34,18.90
4/23/2021 8:44,18.90
4/23/2021 8:54,18.90
4/23/2021 9:04,18.90
4/23/2021 9:14,18.90
4/23/2021 9:24,18.90
4/23/2021 9:34,19.00
4/23/2021 9:44,19.10
4/23/2021 9:54,19.30
4/23/2021 10:04,19.40
4/23/2021 10:14,19.50
4/23/2021 10:19,19.50
4/23/2021 10:24,19.60
4/23/2021 10:34,19.70
4/23/2021 10:44,19.50
4/23/2021 10:54,19.50
4/23/2021 11:04,19.60
4/23/2021 11:14,19.70
4/23/2021 11:24,19.80
4/23/2021 11:34,19.90
4/23/2021 11:44,20.00
4/23/2021 11:54,20.10
4/23/2021 12:04,20.10
4/23/2021 12:14,20.10
4/23/2021 12:24,20.00
4/23/2021 12:34,19.90
4/23/2021 12:44,19.90
4/23/2021 12:54,19.80
4/23/2021 13:04,19.80
4/23/2021 13:15,19.90
4/23/2021 13:24,20.00
4/23/2021 13:28,20.00
4/23/2021 13:45,20.20
4/23/2021 13:54,20.30
4/23/2021 14:04,20.30
4/23/2021 14:14,20.30
4/23/2021 14:24,20.40
4/23/2021 14:34,20.50
4/23/2021 14:44,20.50
4/23/2021 14:54,20.60
4/23/2021 15:04,20.60
4/23/2021 15:14,20.50
4/23/2021 15:24,20.30
4/23/2021 15:34,20.10
4/23/2021 15:44,20.00
4/23/2021 15:54,20.00
4/23/2021 16:04,20.00
4/23/2021 16:14,20.00
4/23/2021 16:24,20.00
4/23/2021 16:34,20.00
4/23/2021 16:40,20.00
4/23/2021 16:44,20.00
4/23/2021 16:54,20.00
4/23/2021 17:05,20.00
4/23/2021 17:15,20.00
4/23/2021 17:25,20.00
4/23/2021 17:35,20.00
4/23/2021 17:45,20.00
4/23/2021 17:55,20.00
4/23/2021 18:05,19.90
4/23/2021 18:15,19.90
4/23/2021 18:25,19.90
4/23/2021 18:35,19.90
4/23/2021 18:45,19.90
4/23/2021 18:55,19.90
4/23/2021 19:05,19.90
4/23/2021 19:15,19.90
4/23/2021 19:25,19.80
4/23/2021 19:35,19.80
4/23/2021 19:45,19.80
4/23/2021 19:55,19.80
4/23/2021 20:05,19.80
4/23/2021 20:05,19.80
4/23/2021 20:15,19.80
4/23/2021 20:25,19.80
4/23/2021 20:35,19.80
4/23/2021 20:45,19.70
4/23/2021 20:55,19.70
4/23/2021 21:05,19.70
4/23/2021 21:15,19.70
4/23/2021 21:25,19.70
4/23/2021 21:35,19.70
4/23/2021 21:45,19.70
4/23/2021 21:55,19.70
4/23/2021 22:05,19.70
4/23/2021 22:15,19.70
4/23/2021 22:25,19.60
4/23/2021 22:35,19.60
4/23/2021 22:45,19.60
4/23/2021 22:55,19.60
4/23/2021 23:05,19.60
4/23/2021 23:15,19.60
4/23/2021 23:25,19.60
4/23/2021 23:33,19.60
4/23/2021 23:35,19.60
4/23/2021 23:45,19.60
4/23/2021 23:55,19.60
4/24/2021 0:05,19.50
4/24/2021 0:15,19.50
4/24/2021 0:25,19.50
4/24/2021 0:35,19.50
4/24/2021 0:45,19.50
4/24/2021 0:55,19.50
4/24/2021 1:05,19.50
4/24/2021 1:15,19.50
4/24/2021 1:25,19.50
4/24/2021 1:35,19.50
4/24/2021 1:45,19.50
4/24/2021 1:55,19.50
4/24/2021 2:05,19.50
4/24/2021 2:15,19.50
4/24/2021 2:25,19.40
4/24/2021 2:35,19.40
4/24/2021 2:45,19.40
4/24/2021 2:55,19.40
4/24/2021 3:02,19.40
4/24/2021 3:05,19.40
4/24/2021 3:15,19.40
4/24/2021 3:25,19.40
4/24/2021 3:35,19.40
4/24/2021 3:45,19.40
4/24/2021 3:55,19.40
4/24/2021 4:05,19.40
4/24/2021 4:15,19.40
4/24/2021 4:25,19.40
4/24/2021 4:35,19.30
4/24/2021 4:45,19.30
4/24/2021 4:55,19.30
4/24/2021 5:05,19.30
4/24/2021 5:15,19.30
4/24/2021 5:25,19.30
4/24/2021 5:35,19.30
4/24/2021 5:45,19.30
4/24/2021 5:55,19.30
4/24/2021 6:05,19.30
4/24/2021 6:06,19.30
4/24/2021 6:15,19.30
4/24/2021 6:25,19.30
4/24/2021 6:35,19.30
4/24/2021 6:45,19.30
4/24/2021 6:55,19.30
4/24/2021 7:05,19.30
4/24/2021 7:15,19.30
4/24/2021 7:25,19.30
4/24/2021 7:35,19.30
4/24/2021 7:45,19.30
4/24/2021 7:55,19.30
4/24/2021 8:15,19.30
4/24/2021 8:25,19.30
4/24/2021 8:35,19.30
4/24/2021 8:45,19.30
4/24/2021 8:55,19.30
4/24/2021 9:05,19.30
4/24/2021 9:15,19.30
4/24/2021 9:16,19.30
4/24/2021 9:25,19.30
4/24/2021 9:35,19.30
4/24/2021 9:45,19.30
4/24/2021 9:55,19.30
4/24/2021 10:05,19.30
4/24/2021 10:15,19.30
4/24/2021 10:25,19.30
4/24/2021 10:35,19.30
4/24/2021 10:45,19.30
4/24/2021 10:55,19.30
4/24/2021 11:05,19.30
4/24/2021 11:15,19.30
4/24/2021 11:25,19.30
4/24/2021 11:35,19.40
4/24/2021 11:45,19.40
4/24/2021 11:55,19.40
4/24/2021 12:05,19.40
4/24/2021 12:15,19.40
4/24/2021 12:25,19.40
4/24/2021 12:25,19.40
4/24/2021 12:35,19.40
4/24/2021 12:45,19.40
4/24/2021 12:55,19.40
4/24/2021 13:05,19.40
4/24/2021 13:15,19.40
4/24/2021 13:25,19.40
4/24/2021 13:35,19.40
4/24/2021 13:45,19.40
4/24/2021 13:55,19.40
4/24/2021 14:05,19.40
4/24/2021 14:15,19.40
4/24/2021 14:25,19.40
4/24/2021 14:35,19.40
4/24/2021 14:45,19.40
4/24/2021 14:55,19.40
4/24/2021 15:05,19.40
4/24/2021 15:15,19.40
4/24/2021 15:25,19.40
4/24/2021 15:35,19.40
4/24/2021 15:45,19.40
4/24/2021 15:50,19.40
4/24/2021 15:55,19.40
4/24/2021 16:15,19.40
4/24/2021 16:25,19.40
4/24/2021 16:35,19.40
4/24/2021 16:45,19.40
4/24/2021 16:55,19.40
4/24/2021 17:05,19.40
